ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL81_1,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL81_10,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL81_2,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL81_3,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL86_5,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL86_6,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL87_1,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL89_antwknpd,[-],0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL89_grevlemr,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL89_kantnzgt,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL89_oostsde,[-],0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2012,0,0,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2013,0,0,0
1,Chemie,Chemische toestand,NL89_spuiknl,[-],0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL89_veersmr,[-],0,0,0,2009,0,1,0
1,Chemie,Chemische toestand,NL89_veersmr,[-],0,0,0,2010,0,1,0
1,Chemie,Chemische toestand,NL89_veersmr,[-],0,0,0,2011,0,1,0
1,Chemie,Chemische toestand,NL89_veersmr,[-],0,0,0,2012,0,0,0
